x, y
-0.4968051118210863, 0.00021791767554479418
-0.4329073482428115, 0.0006537530266343825
-0.36900958466453676, 0.0012929782082324456
-0.33386581469648563, 0.0019031476997578693
-0.2891373801916933, 0.00262953995157385
-0.2539936102236422, 0.003297820823244552
-0.21565495207667734, 0.003966101694915254
-0.16773162939297126, 0.004663438256658595
-0.1230031948881789, 0.0051573849878934624
-0.06869009584664537, 0.005564164648910411
-0.0015974440894568898, 0.005796610169491526
0.05591054313099042, 0.0056803874092009685
0.11661341853035145, 0.00524455205811138
0.15814696485623003, 0.0047506053268765135
0.19648562300319483, 0.004140435835351089
0.23162939297124596, 0.0035012106537530264
0.25718849840255587, 0.0029782082324455203
0.2891373801916932, 0.0025133171912832927
0.32428115015974435, 0.002019370460048426
0.3594249201277955, 0.0014382566585956415
0.40095846645367406, 0.0008861985472154964
0.4361022364217252, 0.0004794188861985472
0.487220447284345, 0.0002469733656174334
