x, y
0.19245283018867926, 0.4321596244131456
0.39622641509433965, 0.3382629107981221
0.8, 0.2244131455399061
1.1962264150943396, 0.18802816901408453
1.5999999999999999, 0.18098591549295776
2.0075471698113208, 0.1387323943661972
0.19245283018867926, 0.5882629107981221
0.39622641509433965, 0.5072769953051643
0.7962264150943397, 0.34530516431924885
1.2, 0.27370892018779347
1.5999999999999999, 0.19976525821596244
2.0075471698113208, 0.19507042253521129
0.18867924528301888, 0.5671361502347418
0.39622641509433965, 0.5072769953051643
0.7924528301886793, 0.33004694835680753
1.1962264150943396, 0.25375586854460097
1.5999999999999999, 0.21267605633802816
2, 0.15281690140845072
2, 0.15281690140845072
